ilanskiy.floristum.ru 95.108.213.20 - - [10/Apr/2022:00:00:04 +0300] "GET /flowers/buket-20-832 HTTP/1.1" 200 139961 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 109684 73333:19999
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:00:04 +0300] "GET /cart/2860449?_cn=akhty HTTP/1.1" 404 95846 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 71263 43333:23333
floristum.ru 17.121.115.195 - - [10/Apr/2022:00:00:03 +0300] "GET /en/akhty-d/cart/2860449 HTTP/1.1" 404 14779 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 926241 13333:16666
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:00:09 +0300] "GET /cart/2003481?_cn=aleksandrov HTTP/1.1" 404 95982 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 69734 49999:16666
floristum.ru 17.121.115.229 - - [10/Apr/2022:00:00:09 +0300] "GET /en/aleksandrov-d/cart/2003481 HTTP/1.1" 404 14790 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 1106504 16666:13333
floristum.ru 17.121.114.121 - - [10/Apr/2022:00:00:13 +0300] "GET /flowers/buket-iz-raznotsvetnykh-tyulpanov-51-tyulpan-684 HTTP/1.1" 200 154720 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 103568 36666:49999
pestretsy.floristum.ru 141.8.142.71 - - [10/Apr/2022:00:00:22 +0300] "GET /api/v1/singleProduct/getProductByQty?product_id=237856&qty=1 HTTP/1.1" 200 1506 "https://pestretsy.floristum.ru/cart/237856" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 70829 46666:19999
roza.floristum.ru 176.59.212.35 - - [10/Apr/2022:00:00:23 +0300] "GET /?yclid=10079909673495691263 HTTP/1.1" 200 328968 "https://roza.floristum.ru/?yclid=10079909673495691263" "Mozilla/5.0 (Linux; arm_64; Android 11; SM-A325F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.174 YaApp_Android/22.13.1 YaSearchBrowser/22.13.1 BroPP/1.0 SA/3 Mobile Safari/537.36" 187038 116666:29999
nakhabino.floristum.ru 95.108.213.20 - - [10/Apr/2022:00:00:28 +0300] "GET /flowers/buket-iz-roz-i-pionov-896 HTTP/1.1" 200 141174 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 931361 56666:19999
sochi.floristum.ru 17.121.113.154 - - [10/Apr/2022:00:00:28 +0300] "GET /favorites HTTP/1.1" 200 96459 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 869021 43333:29999
sverdlovskiy.floristum.ru 5.255.253.118 - - [10/Apr/2022:00:00:34 +0300] "GET /flowers/korzina-iz-19-raznotsvetnykh-alstromeriy-935 HTTP/1.1" 200 142011 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 108148 63333:29999
volodarsk.floristum.ru 87.250.224.41 - - [10/Apr/2022:00:00:39 +0300] "GET /flowers/buket-iz-51-raznotsvetnogo-tyulpana-294 HTTP/1.1" 200 140675 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 88367 53333:19999
chita.floristum.ru 17.121.114.27 - - [10/Apr/2022:00:00:47 +0300] "GET /flowers/buket-iz-tyulpanov-7-679 HTTP/1.1" 200 140445 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 108544 66666:26666
troitskoe.floristum.ru 87.250.224.12 - - [10/Apr/2022:00:00:49 +0300] "GET /cart/2061778 HTTP/1.1" 404 96657 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 79820 53333:19999
floristum.ru 87.250.224.41 - - [10/Apr/2022:00:00:53 +0300] "GET /flowers/buket-4-244 HTTP/1.1" 404 98468 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 61589 36666:19999
komarichi.floristum.ru 141.8.142.71 - - [10/Apr/2022:00:00:54 +0300] "GET / HTTP/1.1" 200 333510 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 127831 93333:9999
floristum.ru 178.176.78.25 - - [10/Apr/2022:00:00:58 +0300] "GET / HTTP/1.1" 200 387310 "-" "Mozilla/5.0 (Linux; Android 8.0.0; ANE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.11 Mobile Safari/537.36" 187644 83333:29999
ulu-telyak.floristum.ru 87.250.224.28 - - [10/Apr/2022:00:01:02 +0300] "GET /catalog/klassika/vse-cvety HTTP/1.1" 200 379790 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 184944 103333:36666
anapa.floristum.ru 17.121.112.48 - - [10/Apr/2022:00:01:02 +0300] "GET / HTTP/1.1" 200 331811 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 159650 83333:36666
floristum.ru 178.176.78.25 - - [10/Apr/2022:00:01:03 +0300] "GET / HTTP/1.1" 200 385056 "https://floristum.ru/" "Mozilla/5.0 (Linux; Android 8.0.0; ANE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.11 Mobile Safari/537.36" 215763 103333:29999
tosno.floristum.ru 213.180.203.91 - - [10/Apr/2022:00:01:05 +0300] "GET /flowers/buket-300-616 HTTP/1.1" 200 141313 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 102377 59999:23333
olymskiy.floristum.ru 5.45.207.133 - - [10/Apr/2022:00:01:09 +0300] "GET /corporate HTTP/1.1" 200 231056 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 127830 73333:29999
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:01:12 +0300] "GET /flowers/buket-14-512?_cn=aksakovo HTTP/1.1" 200 139782 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 94313 43333:33333
floristum.ru 17.121.113.63 - - [10/Apr/2022:00:01:11 +0300] "GET /en/aksakovo-d/flowers/buket-14-512 HTTP/1.1" 200 19140 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 1244577 23333:6666
troitskoe.floristum.ru 87.250.224.117 - - [10/Apr/2022:00:01:13 +0300] "GET /assets/front/css/js/html5shiv.min.js HTTP/1.1" 302 382 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 55764 46666:6666
floristum.ru 87.250.224.41 - - [10/Apr/2022:00:01:16 +0300] "GET /cart/55692 HTTP/1.1" 200 141526 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 64168 26666:29999
troitskoe.floristum.ru 141.8.142.71 - - [10/Apr/2022:00:01:23 +0300] "GET /assets/front/css/js/respond.min.js HTTP/1.1" 302 382 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 54988 33333:19999
volovo.floristum.ru 87.250.224.41 - - [10/Apr/2022:00:01:24 +0300] "GET /flowers/buket-iz-orkhidey-3-816 HTTP/1.1" 200 140967 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 93049 46666:29999
floristum.ru 87.250.224.76 - - [10/Apr/2022:00:01:39 +0300] "GET /assets/front/css/js/html5shiv.min.js HTTP/1.1" 302 342 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 45781 23333:19999
volovo.floristum.ru 87.250.224.41 - - [10/Apr/2022:00:01:41 +0300] "GET /assets/front/css/js/respond.min.js HTTP/1.1" 302 370 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 53655 39999:9999
nikolaevka--rostovskaya-oblast.floristum.ru 95.108.213.20 - - [10/Apr/2022:00:01:42 +0300] "GET /flowers/buket-367-827 HTTP/1.1" 200 144468 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 89893 56666:19999
belgorod.floristum.ru 87.250.224.76 - - [10/Apr/2022:00:01:45 +0300] "GET /flowers/buket-239-352 HTTP/1.1" 200 140050 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 98507 56666:26666
udomlya.floristum.ru 95.108.213.20 - - [10/Apr/2022:00:01:49 +0300] "GET /cart/2876977 HTTP/1.1" 404 96351 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 64049 39999:19999
gelendzhik.floristum.ru 17.121.114.133 - - [10/Apr/2022:00:01:53 +0300] "GET /cart/1994777 HTTP/1.1" 404 96591 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 72037 39999:26666
volovo.floristum.ru 5.45.207.100 - - [10/Apr/2022:00:02:09 +0300] "GET /assets/front/css/js/html5shiv.min.js HTTP/1.1" 302 370 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 54340 36666:16666
mikhaylovsk.floristum.ru 213.180.203.91 - - [10/Apr/2022:00:02:12 +0300] "GET /cart/3598614 HTTP/1.1" 200 294135 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 276485 59999:86666
pushkino.floristum.ru 95.108.213.20 - - [10/Apr/2022:00:02:16 +0300] "GET /cart/86426 HTTP/1.1" 200 142703 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 107932 36666:63333
belgorod.floristum.ru 87.250.224.41 - - [10/Apr/2022:00:02:31 +0300] "GET /cart/237853 HTTP/1.1" 200 291392 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 100403 59999:29999
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:02:34 +0300] "GET /flowers/buket-iz-tyulpanov-i-irisov-768?_cn=alleroy HTTP/1.1" 200 140448 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 86190 39999:29999
floristum.ru 17.121.115.78 - - [10/Apr/2022:00:02:33 +0300] "GET /en/alleroy-d/flowers/buket-iz-tyulpanov-i-irisov-768 HTTP/1.1" 200 19095 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 1060790 19999:9999
leninsk.floristum.ru 87.250.224.117 - - [10/Apr/2022:00:02:35 +0300] "GET /flowers/buket-3-711 HTTP/1.1" 200 140497 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 102051 56666:33333
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:02:38 +0300] "GET /?_cn=alekseevka--bashkortostan HTTP/1.1" 200 329687 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 125798 73333:26666
floristum.ru 17.121.114.26 - - [10/Apr/2022:00:02:37 +0300] "GET /en/alekseevka--bashkortostan-d HTTP/1.1" 200 27725 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 1238836 19999:13333
surgut.floristum.ru 87.250.224.76 - - [10/Apr/2022:00:02:42 +0300] "GET /catalog/all/khrizantema?page=5 HTTP/1.1" 200 392445 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 182512 96666:33333
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:02:44 +0300] "GET /flowers/buket-iz-podsolnukhov-778?_cn=andryuki HTTP/1.1" 200 139112 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 85483 46666:23333
floristum.ru 17.121.114.164 - - [10/Apr/2022:00:02:44 +0300] "GET /en/andryuki-d/flowers/buket-iz-podsolnukhov-778 HTTP/1.1" 200 18942 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 896628 16666:13333
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:02:47 +0300] "GET /flowers/buket-iz-11-belykh-roz-v-krafte-457?_cn=adyge-khabl HTTP/1.1" 200 139244 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 87075 56666:16666
armavir.floristum.ru 87.250.224.196 - - [10/Apr/2022:00:02:47 +0300] "GET /cart/104961 HTTP/1.1" 200 290730 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 93328 66666:16666
floristum.ru 17.121.114.205 - - [10/Apr/2022:00:02:47 +0300] "GET /en/adyge-khabl-d/flowers/buket-iz-11-belykh-roz-v-krafte-457 HTTP/1.1" 200 18897 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 976548 19999:6666
rossosch.floristum.ru 5.45.207.99 - - [10/Apr/2022:00:02:48 +0300] "GET /flowers/buket-iz-25-oranzhevykh-roz-v-fetre-309 HTTP/1.1" 200 140812 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 90779 59999:13333
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:02:52 +0300] "GET /?_cn=ekaterinburg HTTP/1.1" 200 330326 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 139896 83333:16666
floristum.ru 17.121.115.234 - - [10/Apr/2022:00:02:52 +0300] "GET /en/ekaterinburg-d HTTP/1.1" 200 27806 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 1094551 23333:9999
verkhnyaya-salda.floristum.ru 5.45.207.99 - - [10/Apr/2022:00:02:59 +0300] "GET /catalog/avtorskie/vse-cvety?page=2 HTTP/1.1" 200 286385 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 141381 79999:29999
apatity.floristum.ru 17.121.113.146 - - [10/Apr/2022:00:03:12 +0300] "GET /flowers/korzina-s-tsvetami-3-485 HTTP/1.1" 200 140943 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 98787 66666:16666
shakhunya.floristum.ru 5.45.207.100 - - [10/Apr/2022:00:03:13 +0300] "GET /flowers/buket-iz-55-roz-2-484 HTTP/1.1" 200 141724 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 90780 56666:19999
askarovo.floristum.ru 213.180.203.91 - - [10/Apr/2022:00:03:14 +0300] "GET /flowers/buket-280-951 HTTP/1.1" 200 142739 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 95500 46666:36666
novosibirsk.floristum.ru 141.8.142.71 - - [10/Apr/2022:00:03:18 +0300] "GET /flowers/843-buket-iz-51-krasnoi-rozy HTTP/1.1" 200 197842 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 114589 76666:16666
